,TYPE,WB_A3,REGION_UN,SUBREGION,REGION_WB,WB_NAME
0,Sovereign country,IDN,Asia,South-Eastern Asia,East Asia & Pacific,Indonesia
1,Sovereign country,MYS,Asia,South-Eastern Asia,East Asia & Pacific,Malaysia
2,Sovereign country,CHL,Americas,South America,Latin America & Caribbean,Chile
3,Sovereign country,BOL,Americas,South America,Latin America & Caribbean,Bolivia
4,Sovereign country,PER,Americas,South America,Latin America & Caribbean,Peru
5,Sovereign country,ARG,Americas,South America,Latin America & Caribbean,Argentina
6,Sovereign country,CYP,Asia,Western Asia,Europe & Central Asia,Cyprus
7,Sovereign country,IND,Asia,Southern Asia,South Asia,India
8,Sovereign country,ISR,Asia,Western Asia,Middle East & North Africa,Israel
9,Disputed,PSE,Asia,Western Asia,Middle East & North Africa,West Bank and Gaza
10,Sovereign country,LBN,Asia,Western Asia,Middle East & North Africa,Lebanon
11,Sovereign country,ETH,Africa,Eastern Africa,Sub-Saharan Africa,Ethiopia
12,Sovereign country,SSD,Africa,Eastern Africa,Sub-Saharan Africa,South Sudan
13,Sovereign country,SOM,Africa,Eastern Africa,Sub-Saharan Africa,Somalia
14,Sovereign country,KEN,Africa,Eastern Africa,Sub-Saharan Africa,Kenya
15,Sovereign country,PAK,Asia,Southern Asia,South Asia,Pakistan
16,Sovereign country,MWI,Africa,Eastern Africa,Sub-Saharan Africa,Malawi
17,Sovereign country,TZA,Africa,Eastern Africa,Sub-Saharan Africa,Tanzania
18,Sovereign country,SYR,Asia,Western Asia,Middle East & North Africa,Syrian Arab Republic
19,Sovereign country,SUR,Americas,South America,Latin America & Caribbean,Suriname
20,Sovereign country,GUY,Americas,South America,Latin America & Caribbean,Guyana
21,Sovereign country,KOR,Asia,Eastern Asia,East Asia & Pacific,"Korea, Republic of"
22,Sovereign country,PRK,Asia,Eastern Asia,East Asia & Pacific,"Korea, Democratic People's Republic of"
23,Sovereign country,MAR,Africa,Northern Africa,Middle East & North Africa,Morocco
24,Sovereign country,CRI,Americas,Central America,Latin America & Caribbean,Costa Rica
25,Sovereign country,NIC,Americas,Central America,Latin America & Caribbean,Nicaragua
26,Sovereign country,COG,Africa,Middle Africa,Sub-Saharan Africa,"Congo, Rep. of"
27,Sovereign country,COD,Africa,Middle Africa,Sub-Saharan Africa,"Congo, Democratic Republic of"
28,Sovereign country,BTN,Asia,Southern Asia,South Asia,Bhutan
29,Sovereign country,UKR,Europe,Eastern Europe,Europe & Central Asia,Ukraine
30,Sovereign country,BLR,Europe,Eastern Europe,Europe & Central Asia,Belarus
31,Sovereign country,NAM,Africa,Southern Africa,Sub-Saharan Africa,Namibia
32,Sovereign country,ZAF,Africa,Southern Africa,Sub-Saharan Africa,South Africa
33,Dependency,MAF,Americas,Caribbean,Latin America & Caribbean,Saint-Martin (Fr.)
34,Dependency,SXM,Americas,Caribbean,Latin America & Caribbean,Sint Maarten (Neth.)
35,Sovereign country,OMN,Asia,Western Asia,Middle East & North Africa,Oman
36,Sovereign country,UZB,Asia,Central Asia,Europe & Central Asia,Uzbekistan
37,Sovereign country,KAZ,Asia,Central Asia,Europe & Central Asia,Kazakhstan
38,Sovereign country,TJK,Asia,Central Asia,Europe & Central Asia,Tajikistan
39,Sovereign country,LTU,Europe,Northern Europe,Europe & Central Asia,Lithuania
40,Sovereign country,BRA,Americas,South America,Latin America & Caribbean,Brazil
41,Sovereign country,URY,Americas,South America,Latin America & Caribbean,Uruguay
42,Sovereign country,MNG,Asia,Eastern Asia,East Asia & Pacific,Mongolia
43,Sovereign country,RUS,Europe,Eastern Europe,Europe & Central Asia,Russian Federation
44,Sovereign country,CZE,Europe,Eastern Europe,Europe & Central Asia,Czech Republic
45,Sovereign country,DEU,Europe,Western Europe,Europe & Central Asia,Germany
46,Sovereign country,EST,Europe,Northern Europe,Europe & Central Asia,Estonia
47,Sovereign country,LVA,Europe,Northern Europe,Europe & Central Asia,Latvia
48,Sovereign country,NOR,Europe,Northern Europe,Europe & Central Asia,Norway
49,Sovereign country,SWE,Europe,Northern Europe,Europe & Central Asia,Sweden
50,Sovereign country,FIN,Europe,Northern Europe,Europe & Central Asia,Finland
51,Sovereign country,VNM,Asia,South-Eastern Asia,East Asia & Pacific,Vietnam
52,Sovereign country,KHM,Asia,South-Eastern Asia,East Asia & Pacific,Cambodia
53,Sovereign country,LUX,Europe,Western Europe,Europe & Central Asia,Luxembourg
54,Sovereign country,ARE,Asia,Western Asia,Middle East & North Africa,United Arab Emirates
55,Sovereign country,BEL,Europe,Western Europe,Europe & Central Asia,Belgium
56,Sovereign country,GEO,Asia,Western Asia,Europe & Central Asia,Georgia
57,Sovereign country,MKD,Europe,Southern Europe,Europe & Central Asia,North Macedonia
58,Sovereign country,ALB,Europe,Southern Europe,Europe & Central Asia,Albania
59,Sovereign country,AZE,Asia,Western Asia,Europe & Central Asia,Azerbaijan
60,Sovereign country,XKX,Europe,Southern Europe,Europe & Central Asia,Kosovo
61,Sovereign country,TUR,Asia,Western Asia,Europe & Central Asia,Turkey
62,Sovereign country,ESP,Europe,Southern Europe,Europe & Central Asia,Spain
63,Sovereign country,LAO,Asia,South-Eastern Asia,East Asia & Pacific,Lao People's Democratic Republic
64,Sovereign country,KGZ,Asia,Central Asia,Europe & Central Asia,Kyrgyz Republic
65,Sovereign country,ARM,Asia,Western Asia,Europe & Central Asia,Armenia
66,Sovereign country,DNK,Europe,Northern Europe,Europe & Central Asia,Denmark
67,Sovereign country,LBY,Africa,Northern Africa,Middle East & North Africa,Libya
68,Sovereign country,TUN,Africa,Northern Africa,Middle East & North Africa,Tunisia
69,Sovereign country,ROU,Europe,Eastern Europe,Europe & Central Asia,Romania
70,Sovereign country,HUN,Europe,Eastern Europe,Europe & Central Asia,Hungary
71,Sovereign country,SVK,Europe,Eastern Europe,Europe & Central Asia,Slovak Republic
72,Sovereign country,POL,Europe,Eastern Europe,Europe & Central Asia,Poland
73,Sovereign country,IRL,Europe,Northern Europe,Europe & Central Asia,Ireland
74,Sovereign country,GBR,Europe,Northern Europe,Europe & Central Asia,United Kingdom
75,Sovereign country,GRC,Europe,Southern Europe,Europe & Central Asia,Greece
76,Sovereign country,ZMB,Africa,Eastern Africa,Sub-Saharan Africa,Zambia
77,Sovereign country,SLE,Africa,Western Africa,Sub-Saharan Africa,Sierra Leone
78,Sovereign country,GIN,Africa,Western Africa,Sub-Saharan Africa,Guinea
79,Sovereign country,LBR,Africa,Western Africa,Sub-Saharan Africa,Liberia
80,Sovereign country,CAF,Africa,Middle Africa,Sub-Saharan Africa,Central African Republic
81,Sovereign country,SDN,Africa,Northern Africa,Sub-Saharan Africa,Sudan
82,Sovereign country,DJI,Africa,Eastern Africa,Middle East & North Africa,Djibouti
83,Sovereign country,ERI,Africa,Eastern Africa,Sub-Saharan Africa,Eritrea
84,Sovereign country,AUT,Europe,Western Europe,Europe & Central Asia,Austria
85,Sovereign country,IRQ,Asia,Western Asia,Middle East & North Africa,Iraq
86,Sovereign country,ITA,Europe,Southern Europe,Europe & Central Asia,Italy
87,Sovereign country,CHE,Europe,Western Europe,Europe & Central Asia,Switzerland
88,Sovereign country,IRN,Asia,Southern Asia,Middle East & North Africa,"Iran, Islamic Republic of"
89,Sovereign country,LIE,Europe,Western Europe,Europe & Central Asia,Liechtenstein
90,Sovereign country,CIV,Africa,Western Africa,Sub-Saharan Africa,Côte d'Ivoire
91,Sovereign country,SRB,Europe,Southern Europe,Europe & Central Asia,Serbia
92,Sovereign country,MLI,Africa,Western Africa,Sub-Saharan Africa,Mali
93,Sovereign country,SEN,Africa,Western Africa,Sub-Saharan Africa,Senegal
94,Sovereign country,NGA,Africa,Western Africa,Sub-Saharan Africa,Nigeria
95,Sovereign country,BEN,Africa,Western Africa,Sub-Saharan Africa,Benin
96,Sovereign country,AGO,Africa,Middle Africa,Sub-Saharan Africa,Angola
97,Sovereign country,HRV,Europe,Southern Europe,Europe & Central Asia,Croatia
98,Sovereign country,SVN,Europe,Southern Europe,Europe & Central Asia,Slovenia
99,Sovereign country,QAT,Asia,Western Asia,Middle East & North Africa,Qatar
100,Sovereign country,SAU,Asia,Western Asia,Middle East & North Africa,Saudi Arabia
101,Sovereign country,BWA,Africa,Southern Africa,Sub-Saharan Africa,Botswana
102,Sovereign country,ZWE,Africa,Eastern Africa,Sub-Saharan Africa,Zimbabwe
103,Sovereign country,BGR,Europe,Eastern Europe,Europe & Central Asia,Bulgaria
104,Sovereign country,THA,Asia,South-Eastern Asia,East Asia & Pacific,Thailand
105,Sovereign country,SMR,Europe,Southern Europe,Europe & Central Asia,San Marino
106,Sovereign country,HTI,Americas,Caribbean,Latin America & Caribbean,Haiti
107,Sovereign country,DOM,Americas,Caribbean,Latin America & Caribbean,Dominican Republic
108,Sovereign country,TCD,Africa,Middle Africa,Sub-Saharan Africa,Chad
109,Sovereign country,KWT,Asia,Western Asia,Middle East & North Africa,Kuwait
110,Sovereign country,SLV,Americas,Central America,Latin America & Caribbean,El Salvador
111,Sovereign country,GTM,Americas,Central America,Latin America & Caribbean,Guatemala
112,Sovereign country,TMP,Asia,South-Eastern Asia,East Asia & Pacific,Timor-Leste
113,Sovereign country,BRN,Asia,South-Eastern Asia,East Asia & Pacific,Brunei Darussalam
114,Sovereign country,MCO,Europe,Western Europe,Europe & Central Asia,Monaco
115,Sovereign country,DZA,Africa,Northern Africa,Middle East & North Africa,Algeria
116,Sovereign country,MOZ,Africa,Eastern Africa,Sub-Saharan Africa,Mozambique
117,Sovereign country,SWZ,Africa,Southern Africa,Sub-Saharan Africa,eSwatini
118,Sovereign country,BDI,Africa,Eastern Africa,Sub-Saharan Africa,Burundi
119,Sovereign country,RWA,Africa,Eastern Africa,Sub-Saharan Africa,Rwanda
